longitude,latitude,title,description,emoji,positive_score,emotion_score,negative_score,emotion_intensity,location1,location2,anonymized_description,timestamp
11.445556674152614,49.25498858492143,asd,asd,😊,0.02796462271362543,-0.03297992888838053,0.06094455160200596,0.08890917431563139,"Ernteweg, 92318 Neumarkt in der Oberpfalz, Germany","Lengenbacher Weg, 92364 Deining, Germany",asd asd 😊,2024-09-27 19:20:42.797000+00:00
126.00000053644185,-23.499522879177917,gta,adventure,❤️,0.28569047898054123,0.15306482324376702,0.1326256557367742,0.41831613471731544,"Gibson Desert South, Shire Of Ngaanyatjarraku, Western Australia, Australia","Gibson Desert South, Shire Of Ngaanyatjarraku, Western Australia, Australia",gta adventure <PERSON>,2024-09-27 19:20:42.797000+00:00
46.5468755364418,49.198934922087126,fff,fff,😊,0.03529815562069416,-0.12522020423784852,0.16051835985854268,0.19581651547923684,"Приозёрное сельское поселение, Pallasovsky District, Russia","Volgograd Oblast, Russia, 404256",<PERSON> 😊,2024-09-27 19:20:42.797000+00:00
31.781250536441807,34.65489930099977,fww,asd,😊,0.15472541376948357,-0.5832341741770506,0.7379595879465342,0.8926850017160177,Levantine Sea,Levantine Sea,fww asd 😊,2024-09-27 19:20:42.797000+00:00
90.84375053644182,42.60485378822427,gg,gg,😊,0.03857203386723995,-0.041101372335106134,0.07967340620234609,0.11824544006958604,"Shanshan County, China","Shanshan County, China",<PERSON>,2024-09-27 19:20:42.797000+00:00
84.97265651822092,32.130965663918616,yyh,hcvc,🎉,0.03857203386723995,-0.041101372335106134,0.07967340620234609,0.11824544006958604,"Dongcuo, Gêrzê County, China","Dongcuo, Gêrzê County, China",<PERSON>,2024-09-27 19:20:42.797000+00:00
-41.203126609325416,67.77768807423453,www,www,😊,0.17300508543848991,0.12756791641004384,0.04543716902844608,0.218442254466936,"Sermersooq, Greenland","Sermersooq, Greenland",www www 😊,2024-09-27 19:20:42.797000+00:00
-95.8359369635582,44.289256227934274,asd,asd,❤️,0.01653848635032773,-0.07490088371559978,0.0914393700659275,0.10797785641625524,"230th Avenue, Lyon County, MN 56115, United States of America","unnamed road, Lyon County, MN 56112, United States of America",asd asd ❤️,2024-09-27 19:20:42.797000+00:00
-111.6562494635582,64.59372792248097,vdv,vdfv,❤️,0.34826602786779404,0.2659830469638109,0.08228298090398312,0.43054900877177715,"North Slave Region, NT, Canada","North Slave Region, NT, Canada",vdv vdfv ❤️,2024-09-27 19:20:42.797000+00:00
9.984375536441805,11.798533631154974,asx,xas,😊,0.03529815562069416,-0.12522020423784852,0.16051835985854268,0.19581651547923684,"unnamed road, Gyara, Bauchi State, Nigeria","Magwanshi, Katagum, Nigeria",<PERSON> 😊,2024-09-27 19:20:42.798000+00:00
32.48437553644181,7.989606647172556,casc,sad,😢,0.011929919011890888,-0.9673828113009222,0.9793127303128131,0.991242649324704,"Akobo, South Sudan","Akobo, South Sudan",casc sad 😢,2024-09-27 19:20:42.798000+00:00
19.828125536441807,16.90548006395843,sad,cry,😢,0.011427569203078747,-0.949083904735744,0.9605114739388227,0.9719390431419015,"Borkou, Chad","Borkou, Chad",sad cry 😢,2024-09-27 19:20:42.798000+00:00
56.26187896741613,58.06235143712969,great walk,had snacks there felt happy,😊,0.9944954621605575,0.9907946037128568,0.003700858447700739,0.9981963206082582,"10 км, дорога Дружбы, Motovilikhinsky City District, Perm, Perm Krai, Russia, 614018","Целинная улица, 15, Вышка II, Perm, Perm Krai, Russia, 614056",great walk had snacks there felt happy 😊,2024-09-27 19:20:41.862000+00:00
